Titel,Beschreibung,Modul,Tags,Typ
Modul D: Erweiterte KI-Steuerung,"Fortgeschrittene Befehle für Rollenspiel, kritische Analyse und Parametersteuerung",Modul D: KI-Steuerung,Erweitert,Dokumentation
"🧪 Drei-Phasen-Test: Optimierung, Visualisierung & Analyse","Komplexer Test mit Code-Modifikation, Visualisierung und akademischer Erklärung",Beispiele & Tests,"Analyse, Optimierung, Visualisierung",Test
CompText-Codex: Übersicht & Weiterentwicklung,Gesamtübersicht und Hinweise zur Weiterentwicklung der DSL,Beispiele & Tests,Core,Dokumentation
Modul B: Programmier- & Datenverarbeitung,"Befehle für Code-Generierung, Debugging, Modifikation und Optimierung",Modul B: Programmierung,Core,Dokumentation
Modul A: Allgemeine Befehle & Formatierung,"Universelle Befehle für Zusammenfassungen, Übersetzungen, Formatierung und Stil",Modul A: Allgemeine Befehle,Core,Dokumentation
Modul C: Visualisierung & Grafik,Befehle für die Erstellung und Anpassung von Datenvisualisierungen,Modul C: Visualisierung,"Core, Visualisierung",Dokumentation
Beispiel: Zusammenfassung mit Stil-Variationen,Praktische Beispiele für Zusammenfassungen in verschiedenen Stilen,Modul A: Allgemeine Befehle,Core,Beispiel
Quick Reference: Alle Befehle auf einen Blick,Kompakte Übersicht aller CompText-Befehle für schnellen Zugriff,Beispiele & Tests,Core,Referenz
Beispiel: Kritische Analyse mit Expertenrolle,Verwendung von Rollenspielen und kritischer Analyse,Modul D: KI-Steuerung,"Analyse, Erweitert",Beispiel
Beispiel: Visualisierungs-Pipeline,Vollständige Pipeline von Datenaufbereitung bis zur Visualisierung,Modul C: Visualisierung,Visualisierung,Beispiel
Beispiel: Multi-Language Code-Generierung,Code-Generierung für dieselbe Aufgabe in verschiedenen Programmiersprachen,Modul B: Programmierung,Core,Beispiel
Modul H: Database & Data Modeling,"Befehle für Datenbankdesign, Schema-Erstellung und Datenmodellierung",Modul H: Database & Data Modeling,Core,Dokumentation
Modul I: Security & Compliance,"Befehle für Sicherheitsanalyse, Compliance-Checks und Best Practices",Modul I: Security & Compliance,Erweitert,Dokumentation
Modul J: DevOps & Deployment,"Befehle für CI/CD, Container-Orchestrierung und Infrastructure as Code",Modul J: DevOps & Deployment,Erweitert,Dokumentation
Modul F: Dokumentation & Reporting,"Befehle für automatisierte Dokumentation, Berichte und technische Spezifikationen",Modul F: Dokumentation,Core,Dokumentation
Modul G: Testing & Quality Assurance,"Befehle für Unit-Tests, Integration-Tests und Code-Qualitätsprüfung",Modul G: Testing & QA,Core,Dokumentation
Modul E: Datenanalyse & Machine Learning,"Spezialisierte Befehle für Datenanalyse, statistische Auswertungen und ML-Workflows",Modul E: Datenanalyse & ML,"Analyse, Erweitert",Dokumentation
Beispiel: Vollständige API-Dokumentation,Automatische Generierung einer strukturierten API-Dokumentation,Modul F: Dokumentation,Core,Beispiel
Beispiel: GDPR Compliance Implementation,Implementierung von GDPR-konformen Datenschutzfunktionen,Modul I: Security & Compliance,Erweitert,Beispiel
Beispiel: PostgreSQL Schema-Design,Vollständiges Datenbankschema für E-Commerce-System,Modul H: Database & Data Modeling,Core,Beispiel
Beispiel: End-to-End Testing mit Jest,Vollständige Test-Suite für eine Web-Anwendung,Modul G: Testing & QA,Core,Beispiel
Beispiel: ML-Pipeline mit Preprocessing & Training,Vollständiger ML-Workflow von Datenaufbereitung bis Modell-Evaluierung,Modul E: Datenanalyse & ML,"Analyse, Erweitert",Beispiel
